:START_ID,:END_ID,:TYPE,VARIABLE:string
38,49,DOMINATE,
39,41,DOMINATE,
40,38,DOMINATE,
41,44,DOMINATE,
42,40,DOMINATE,
43,42,DOMINATE,
44,46,DOMINATE,
45,43,DOMINATE,
46,45,DOMINATE,
48,57,DOMINATE,
48,54,DOMINATE,
49,50,DOMINATE,
50,48,DOMINATE,
53,52,DOMINATE,
54,53,DOMINATE,
55,61,DOMINATE,
56,59,DOMINATE,
57,58,DOMINATE,
58,56,DOMINATE,
59,55,DOMINATE,
60,64,DOMINATE,
61,62,DOMINATE,
62,60,DOMINATE,
63,67,DOMINATE,
64,65,DOMINATE,
65,63,DOMINATE,
66,68,DOMINATE,
67,66,DOMINATE,
87,89,DOMINATE,
94,98,DOMINATE,
99,102,DOMINATE,
103,106,DOMINATE,
107,111,DOMINATE,
112,115,DOMINATE,
116,120,DOMINATE,
121,125,DOMINATE,
126,129,DOMINATE,
130,134,DOMINATE,
135,138,DOMINATE,
139,142,DOMINATE,
143,146,DOMINATE,
147,151,DOMINATE,
152,156,DOMINATE,
157,160,DOMINATE,
6,71,EVAL_TYPE,
8,76,EVAL_TYPE,
9,75,EVAL_TYPE,
11,71,EVAL_TYPE,
12,75,EVAL_TYPE,
14,75,EVAL_TYPE,
17,76,EVAL_TYPE,
18,72,EVAL_TYPE,
20,76,EVAL_TYPE,
21,75,EVAL_TYPE,
25,76,EVAL_TYPE,
26,71,EVAL_TYPE,
27,75,EVAL_TYPE,
29,72,EVAL_TYPE,
31,73,EVAL_TYPE,
32,75,EVAL_TYPE,
35,71,EVAL_TYPE,
36,75,EVAL_TYPE,
37,76,EVAL_TYPE,
39,76,EVAL_TYPE,
44,74,EVAL_TYPE,
46,76,EVAL_TYPE,
49,76,EVAL_TYPE,
50,71,EVAL_TYPE,
51,75,EVAL_TYPE,
54,74,EVAL_TYPE,
57,76,EVAL_TYPE,
58,74,EVAL_TYPE,
59,72,EVAL_TYPE,
61,76,EVAL_TYPE,
62,71,EVAL_TYPE,
64,71,EVAL_TYPE,
65,74,EVAL_TYPE,
67,76,EVAL_TYPE,
68,75,EVAL_TYPE,
70,71,EVAL_TYPE,
88,71,EVAL_TYPE,
89,71,EVAL_TYPE,
95,71,EVAL_TYPE,
96,71,EVAL_TYPE,
97,71,EVAL_TYPE,
98,71,EVAL_TYPE,
100,71,EVAL_TYPE,
101,71,EVAL_TYPE,
102,71,EVAL_TYPE,
104,71,EVAL_TYPE,
105,71,EVAL_TYPE,
106,71,EVAL_TYPE,
108,71,EVAL_TYPE,
109,71,EVAL_TYPE,
110,71,EVAL_TYPE,
111,71,EVAL_TYPE,
113,71,EVAL_TYPE,
114,71,EVAL_TYPE,
115,71,EVAL_TYPE,
117,71,EVAL_TYPE,
118,71,EVAL_TYPE,
119,71,EVAL_TYPE,
120,71,EVAL_TYPE,
122,71,EVAL_TYPE,
123,71,EVAL_TYPE,
124,71,EVAL_TYPE,
125,71,EVAL_TYPE,
127,71,EVAL_TYPE,
128,71,EVAL_TYPE,
129,71,EVAL_TYPE,
131,71,EVAL_TYPE,
132,71,EVAL_TYPE,
133,71,EVAL_TYPE,
134,71,EVAL_TYPE,
136,71,EVAL_TYPE,
137,71,EVAL_TYPE,
138,71,EVAL_TYPE,
140,71,EVAL_TYPE,
141,71,EVAL_TYPE,
142,71,EVAL_TYPE,
144,71,EVAL_TYPE,
145,71,EVAL_TYPE,
146,71,EVAL_TYPE,
148,71,EVAL_TYPE,
149,71,EVAL_TYPE,
150,71,EVAL_TYPE,
151,71,EVAL_TYPE,
153,71,EVAL_TYPE,
154,71,EVAL_TYPE,
155,71,EVAL_TYPE,
156,71,EVAL_TYPE,
158,71,EVAL_TYPE,
159,71,EVAL_TYPE,
160,71,EVAL_TYPE,
161,76,EVAL_TYPE,
162,71,EVAL_TYPE,
163,71,EVAL_TYPE,
164,71,EVAL_TYPE,
165,71,EVAL_TYPE,
166,71,EVAL_TYPE,
167,71,EVAL_TYPE,
168,71,EVAL_TYPE,
169,71,EVAL_TYPE,
170,71,EVAL_TYPE,
171,71,EVAL_TYPE,
172,71,EVAL_TYPE,
173,71,EVAL_TYPE,
174,71,EVAL_TYPE,
175,71,EVAL_TYPE,
176,71,EVAL_TYPE,
177,71,EVAL_TYPE,
178,71,EVAL_TYPE,
179,71,EVAL_TYPE,
180,71,EVAL_TYPE,
181,71,EVAL_TYPE,
182,71,EVAL_TYPE,
183,71,EVAL_TYPE,
184,71,EVAL_TYPE,
8,161,PARAMETER_LINK,
35,162,PARAMETER_LINK,
95,163,PARAMETER_LINK,
96,164,PARAMETER_LINK,
100,165,PARAMETER_LINK,
104,166,PARAMETER_LINK,
108,167,PARAMETER_LINK,
109,168,PARAMETER_LINK,
113,169,PARAMETER_LINK,
117,170,PARAMETER_LINK,
118,171,PARAMETER_LINK,
122,172,PARAMETER_LINK,
123,173,PARAMETER_LINK,
127,174,PARAMETER_LINK,
131,175,PARAMETER_LINK,
132,176,PARAMETER_LINK,
136,177,PARAMETER_LINK,
140,178,PARAMETER_LINK,
144,179,PARAMETER_LINK,
148,180,PARAMETER_LINK,
149,181,PARAMETER_LINK,
153,182,PARAMETER_LINK,
154,183,PARAMETER_LINK,
158,184,PARAMETER_LINK,
11,7,POST_DOMINATE,
15,18,POST_DOMINATE,
16,17,POST_DOMINATE,
17,19,POST_DOMINATE,
18,16,POST_DOMINATE,
19,20,POST_DOMINATE,
23,26,POST_DOMINATE,
24,25,POST_DOMINATE,
26,24,POST_DOMINATE,
28,29,POST_DOMINATE,
30,28,POST_DOMINATE,
32,11,POST_DOMINATE,
32,23,POST_DOMINATE,
32,15,POST_DOMINATE,
32,30,POST_DOMINATE,
38,40,POST_DOMINATE,
39,34,POST_DOMINATE,
40,42,POST_DOMINATE,
41,39,POST_DOMINATE,
42,43,POST_DOMINATE,
43,45,POST_DOMINATE,
44,41,POST_DOMINATE,
45,46,POST_DOMINATE,
46,44,POST_DOMINATE,
48,50,POST_DOMINATE,
49,38,POST_DOMINATE,
50,49,POST_DOMINATE,
52,53,POST_DOMINATE,
53,54,POST_DOMINATE,
55,59,POST_DOMINATE,
56,58,POST_DOMINATE,
57,48,POST_DOMINATE,
57,52,POST_DOMINATE,
58,57,POST_DOMINATE,
59,56,POST_DOMINATE,
60,62,POST_DOMINATE,
61,55,POST_DOMINATE,
62,61,POST_DOMINATE,
63,65,POST_DOMINATE,
64,60,POST_DOMINATE,
65,64,POST_DOMINATE,
66,67,POST_DOMINATE,
67,63,POST_DOMINATE,
68,66,POST_DOMINATE,
70,5,POST_DOMINATE,
89,87,POST_DOMINATE,
98,94,POST_DOMINATE,
102,99,POST_DOMINATE,
106,103,POST_DOMINATE,
111,107,POST_DOMINATE,
115,112,POST_DOMINATE,
120,116,POST_DOMINATE,
125,121,POST_DOMINATE,
129,126,POST_DOMINATE,
134,130,POST_DOMINATE,
138,135,POST_DOMINATE,
142,139,POST_DOMINATE,
146,143,POST_DOMINATE,
151,147,POST_DOMINATE,
156,152,POST_DOMINATE,
160,157,POST_DOMINATE,
7,17,REACHING_DEF,
7,20,REACHING_DEF,
7,18,REACHING_DEF,
7,25,REACHING_DEF,
7,29,REACHING_DEF,
7,11,REACHING_DEF,
7,8,REACHING_DEF,
7,26,REACHING_DEF,
8,25,REACHING_DEF,data
8,161,REACHING_DEF,data
8,161,REACHING_DEF,data
8,17,REACHING_DEF,data
8,20,REACHING_DEF,data
8,32,REACHING_DEF,data
15,32,REACHING_DEF,*data != L'\0'
16,15,REACHING_DEF,*data
16,25,REACHING_DEF,*data
16,24,REACHING_DEF,*data
16,161,REACHING_DEF,*data
16,32,REACHING_DEF,*data
18,16,REACHING_DEF,L'\0'
18,15,REACHING_DEF,L'\0'
19,32,REACHING_DEF,data++
20,25,REACHING_DEF,data
20,161,REACHING_DEF,data
20,17,REACHING_DEF,data
20,19,REACHING_DEF,data
20,32,REACHING_DEF,data
23,32,REACHING_DEF,*data == SEARCH_CHAR
24,16,REACHING_DEF,*data
24,23,REACHING_DEF,*data
24,17,REACHING_DEF,*data
24,20,REACHING_DEF,*data
26,24,REACHING_DEF,SEARCH_CHAR
26,23,REACHING_DEF,SEARCH_CHAR
26,32,REACHING_DEF,SEARCH_CHAR
29,28,REACHING_DEF,"""We have a match!"""
34,44,REACHING_DEF,
34,65,REACHING_DEF,
34,50,REACHING_DEF,
34,67,REACHING_DEF,
34,35,REACHING_DEF,
34,54,REACHING_DEF,
34,57,REACHING_DEF,
34,58,REACHING_DEF,
34,49,REACHING_DEF,
34,59,REACHING_DEF,
34,62,REACHING_DEF,
34,61,REACHING_DEF,
35,62,REACHING_DEF,SOURCE_STRING
35,162,REACHING_DEF,SOURCE_STRING
38,68,REACHING_DEF,data = (wchar_t *)malloc(100*sizeof(wchar_t))
39,38,REACHING_DEF,data
39,49,REACHING_DEF,data
40,39,REACHING_DEF,(wchar_t *)malloc(100*sizeof(wchar_t))
40,38,REACHING_DEF,(wchar_t *)malloc(100*sizeof(wchar_t))
40,68,REACHING_DEF,(wchar_t *)malloc(100*sizeof(wchar_t))
42,40,REACHING_DEF,malloc(100*sizeof(wchar_t))
42,68,REACHING_DEF,malloc(100*sizeof(wchar_t))
43,42,REACHING_DEF,100*sizeof(wchar_t)
43,68,REACHING_DEF,100*sizeof(wchar_t)
44,45,REACHING_DEF,100
44,43,REACHING_DEF,100
46,45,REACHING_DEF,wchar_t
46,68,REACHING_DEF,wchar_t
48,68,REACHING_DEF,data == NULL
49,57,REACHING_DEF,data
49,48,REACHING_DEF,data
49,61,REACHING_DEF,data
50,49,REACHING_DEF,
50,48,REACHING_DEF,
50,68,REACHING_DEF,
53,52,REACHING_DEF,-1
53,68,REACHING_DEF,-1
54,53,REACHING_DEF,1
55,68,REACHING_DEF,data[0] = L'\0'
56,67,REACHING_DEF,data[0]
56,55,REACHING_DEF,data[0]
56,61,REACHING_DEF,data[0]
56,68,REACHING_DEF,data[0]
59,56,REACHING_DEF,L'\0'
59,55,REACHING_DEF,L'\0'
60,68,REACHING_DEF,"wcscpy(data, SOURCE_STRING)"
61,67,REACHING_DEF,data
61,62,REACHING_DEF,data
61,60,REACHING_DEF,data
62,61,REACHING_DEF,SOURCE_STRING
62,60,REACHING_DEF,SOURCE_STRING
62,162,REACHING_DEF,SOURCE_STRING
62,68,REACHING_DEF,SOURCE_STRING
63,68,REACHING_DEF,badStatic = 1
64,63,REACHING_DEF,badStatic
64,68,REACHING_DEF,badStatic
65,63,REACHING_DEF,1
66,68,REACHING_DEF,basSink(data)
67,66,REACHING_DEF,data
67,68,REACHING_DEF,data
94,96,REACHING_DEF,
94,95,REACHING_DEF,
95,163,REACHING_DEF,p1
95,98,REACHING_DEF,p1
96,164,REACHING_DEF,p2
96,98,REACHING_DEF,p2
99,100,REACHING_DEF,
100,165,REACHING_DEF,p1
100,102,REACHING_DEF,p1
103,104,REACHING_DEF,
104,166,REACHING_DEF,p1
104,106,REACHING_DEF,p1
107,109,REACHING_DEF,
107,108,REACHING_DEF,
108,167,REACHING_DEF,p1
108,111,REACHING_DEF,p1
109,168,REACHING_DEF,p2
109,111,REACHING_DEF,p2
112,113,REACHING_DEF,
113,169,REACHING_DEF,p1
113,115,REACHING_DEF,p1
116,117,REACHING_DEF,
116,118,REACHING_DEF,
117,170,REACHING_DEF,p1
117,120,REACHING_DEF,p1
118,171,REACHING_DEF,p2
118,120,REACHING_DEF,p2
121,123,REACHING_DEF,
121,122,REACHING_DEF,
122,172,REACHING_DEF,p1
122,125,REACHING_DEF,p1
123,173,REACHING_DEF,p2
123,125,REACHING_DEF,p2
126,127,REACHING_DEF,
127,174,REACHING_DEF,p1
127,129,REACHING_DEF,p1
130,132,REACHING_DEF,
130,131,REACHING_DEF,
131,175,REACHING_DEF,p1
131,134,REACHING_DEF,p1
132,176,REACHING_DEF,p2
132,134,REACHING_DEF,p2
135,136,REACHING_DEF,
136,177,REACHING_DEF,p1
136,138,REACHING_DEF,p1
139,140,REACHING_DEF,
140,178,REACHING_DEF,p1
140,142,REACHING_DEF,p1
143,144,REACHING_DEF,
144,179,REACHING_DEF,p1
144,146,REACHING_DEF,p1
147,148,REACHING_DEF,
147,149,REACHING_DEF,
148,180,REACHING_DEF,p1
148,151,REACHING_DEF,p1
149,181,REACHING_DEF,p2
149,151,REACHING_DEF,p2
152,154,REACHING_DEF,
152,153,REACHING_DEF,
153,182,REACHING_DEF,p1
153,156,REACHING_DEF,p1
154,183,REACHING_DEF,p2
154,156,REACHING_DEF,p2
157,158,REACHING_DEF,
158,184,REACHING_DEF,p1
158,160,REACHING_DEF,p1
2,93,REF,
3,93,REF,
17,8,REF,
20,8,REF,
25,8,REF,
33,7,REF,
39,37,REF,
49,37,REF,
57,37,REF,
61,37,REF,
62,35,REF,
67,37,REF,
69,34,REF,
71,78,REF,
72,79,REF,
73,80,REF,
74,81,REF,
75,82,REF,
76,83,REF,
77,83,REF,
86,93,REF,
2,91,SOURCE_FILE,
3,92,SOURCE_FILE,
4,92,SOURCE_FILE,
5,92,SOURCE_FILE,
7,92,SOURCE_FILE,
34,92,SOURCE_FILE,
78,85,SOURCE_FILE,
79,85,SOURCE_FILE,
80,85,SOURCE_FILE,
81,85,SOURCE_FILE,
82,85,SOURCE_FILE,
83,85,SOURCE_FILE,
84,85,SOURCE_FILE,
86,85,SOURCE_FILE,
87,85,SOURCE_FILE,
